transcribe.onset,transcribe.offset,transcribe.source,transcribe.content,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
107500,00:01:47.500,m,remember that shirt with the star?,2,shirt,star,,,,1,that,,,,,,
111128,00:01:51.128,m,oh mama likes that one,2,mama,one,,,,1,that,,,,,,
113284,00:01:53.284,m,okay now where are the pants that go with this?,1,pants,,,,,1,this,,,,,,
121327,00:02:01.327,m,they are over there you think?,0,,,,,,2,they,you,,,,,
123032,00:02:03.32,m,I dont think so,0,,,,,,1,i,,,,,,
123717,00:02:03.717,m,okay lets get a look with more light,2,look,light,,,,0,,,,,,,
132069,00:02:12.69,m,steam,1,steam,,,,,0,,,,,,,
133870,00:02:13.870,m,steam,1,steam,,,,,0,,,,,,,
135824,00:02:15.824,m,it started raining,0,,,,,,1,weather,,,,,,
138274,00:02:18.274,m,here,0,,,,,,0,,,,,,,
139139,00:02:19.139,m,xxx,0,,,,,,0,,,,,,,
142362,00:02:22.362,m,okay lets see,0,,,,,,0,,,,,,,
145301,00:02:25.301,m,oh,0,,,,,,0,,,,,,,
148915,00:02:28.915,m,what about xxx,0,,,,,,0,,,,,,,
156014,00:02:36.14,m,all right,0,,,,,,0,,,,,,,
157038,00:02:37.38,m,they must be in the closet,1,closet,,,,,1,they,,,,,,
165304,00:02:45.304,m,oh,0,,,,,,0,,,,,,,
167726,00:02:47.726,m,xxx for your closet little girl,2,closet,girl,,,,1,your,,,,,,
170666,00:02:50.666,m,here they are,0,,,,,,1,they,,,,,,
175040,00:02:55.40,m,this one?,1,one,,,,,1,this,,,,,,
176623,00:02:56.623,m,these are your bibs,1,bibs,,,,,2,these,your,,,,,
178058,00:02:58.58,m,this?,0,,,,,,1,this,,,,,,
179831,00:02:59.831,m,no?,0,,,,,,0,,,,,,,
180447,00:03:00.447,m,this?,0,,,,,,1,this,,,,,,
182403,00:03:02.403,m,oh no,0,,,,,,0,,,,,,,
183273,00:03:03.273,m,no that,0,,,,,,1,that,,,,,,
185253,00:03:05.253,m,this,0,,,,,,1,this,,,,,,
185873,00:03:05.873,m,yes,0,,,,,,0,,,,,,,
186714,00:03:06.714,m,this is the one,1,one,,,,,1,this,,,,,,
189008,00:03:09.8,m,okay,0,,,,,,0,,,,,,,
189751,00:03:09.751,m,here,0,,,,,,0,,,,,,,
194760,00:03:14.760,m,you have to put a shirt under it,1,shirt,,,,,2,you,it,,,,,
199226,00:03:19.226,m,honey you gotta,1,honey,,,,,1,you,,,,,,
199909,00:03:19.909,m,you want to put on a different shirt?,1,shirt,,,,,1,you,,,,,,
204125,00:03:24.125,m,see this is,0,,,,,,1,this,,,,,,
205181,00:03:25.181,m,these are just the pants,1,pants,,,,,1,these,,,,,,
207724,00:03:27.724,m,you can't,0,,,,,,1,you,,,,,,
208565,00:03:28.565,m,you have to,0,,,,,,1,you,,,,,,
209000,00:03:29.0,m,to put on a shirt,1,shirt,,,,,0,,,,,,,
209617,00:03:29.617,m,because otherwise it will be cold,0,,,,,,1,it,,,,,,
211417,00:03:31.417,m,but you can,0,,,,,,1,you,,,,,,
211855,00:03:31.855,m,I can give you an option,1,option,,,,,2,i,you,,,,,
212905,00:03:32.905,m,you want this shirt instead?,1,shirt,,,,,2,you,this,,,,,
216009,00:03:36.9,m,no that shirt?,1,shirt,,,,,1,that,,,,,,
219266,00:03:39.266,m,hmm,0,,,,,,0,,,,,,,
221330,00:03:41.330,m,you want this shirt instead?,1,shirt,,,,,2,you,this,,,,,
223873,00:03:43.873,m,thats not a shirt though,1,shirt,,,,,1,that,,,,,,
226633,00:03:46.633,m,those are pants,1,pants,,,,,1,those,,,,,,
227551,00:03:47.551,m,yeah,0,,,,,,0,,,,,,,
228204,00:03:48.204,m,you need to wear a shirt,1,shirt,,,,,1,you,,,,,,
241626,00:04:01.626,m,[laugh],0,,,,,,0,,,,,,,
244508,00:04:04.508,m,yeah,0,,,,,,0,,,,,,,
244940,00:04:04.940,m,we are going to put that to you,0,,,,,,3,we,that,you,,,,
248970,00:04:08.970,m,and then you want a sweater?,1,sweater,,,,,1,you,,,,,,
250960,00:04:10.960,m,those are pants,1,pants,,,,,1,those,,,,,,
251703,00:04:11.703,m,but do you want a sweater too?,1,sweater,,,,,1,you,,,,,,
253286,00:04:13.286,m,no,0,,,,,,0,,,,,,,
254187,00:04:14.187,m,you never want a sweater,1,sweater,,,,,1,you,,,,,,
256823,00:04:16.823,m,okay,0,,,,,,0,,,,,,,
257407,00:04:17.407,m,I am not gonna make you wear a sweater,1,sweater,,,,,2,i,you,,,,,
272047,00:04:32.47,m,xxx,0,,,,,,0,,,,,,,
272976,00:04:32.976,m,but let me get you dressed first,0,,,,,,2,me,you,,,,,
276389,00:04:36.389,m,do you remember where we got you this?,0,,,,,,4,you,we,you,this,,,
279362,00:04:39.362,m,we got this for you when we were on vacation,1,vacation,,,,,4,we,this,you,we,,,
281316,00:04:41.316,m,on Portugal,1,portugal,,,,,0,,,,,,,
284202,00:04:44.202,m,yes,0,,,,,,0,,,,,,,
284788,00:04:44.788,m,do you remember?,0,,,,,,1,you,,,,,,
286216,00:04:46.216,m,in the summer,1,summer,,,,,0,,,,,,,
287701,00:04:47.701,m,that we went to the beach,1,beach,,,,,1,we,,,,,,
289935,00:04:49.935,m,do you remember?,0,,,,,,1,you,,,,,,
290771,00:04:50.771,m,and you played with the kids,1,kids,,,,,1,you,,,,,,
293846,00:04:53.846,m,and you saw the sand?,1,sand,,,,,1,you,,,,,,
296296,00:04:56.296,m,and the shells,1,shells,,,,,0,,,,,,,
311433,00:05:11.433,m,oh,0,,,,,,0,,,,,,,
311898,00:05:11.898,m,you want me to change your diaper?,1,diaper,,,,,2,you,your,,,,,
313732,00:05:13.732,m,is it wet?,0,,,,,,1,it,,,,,,
317016,00:05:17.16,m,are you sure?,0,,,,,,1,you,,,,,,
321477,00:05:21.477,m,you havent pooped?,0,,,,,,1,you,,,,,,
323525,00:05:23.525,m,[laugh],0,,,,,,0,,,,,,,
331110,00:05:31.110,m,these are pants,1,pants,,,,,1,these,,,,,,
331821,00:05:31.821,m,yes,0,,,,,,0,,,,,,,
334073,00:05:34.73,m,little hard to get up I guess,0,,,,,,1,i,,,,,,
337364,00:05:37.364,m,xxx,0,,,,,,0,,,,,,,
339935,00:05:39.935,m,hold on to momma,1,mama,,,,,0,,,,,,,
343027,00:05:43.27,m,okay,0,,,,,,0,,,,,,,
344682,00:05:44.682,m,xxx,0,,,,,,0,,,,,,,
346541,00:05:46.541,m,oh,0,,,,,,0,,,,,,,
347783,00:05:47.783,m,be careful with that,0,,,,,,1,that,,,,,,
355500,00:05:55.500,m,what is that?,0,,,,,,1,that,,,,,,
357369,00:05:57.369,m,its a snack,1,snack,,,,,1,it,,,,,,
362516,00:06:02.516,m,there you go,0,,,,,,1,you,,,,,,
365111,00:06:05.111,m,there you go,0,,,,,,1,you,,,,,,
366939,00:06:06.939,m,okay,0,,,,,,0,,,,,,,
369205,00:06:09.205,m,roll up these a little bit so you don't trip,0,,,,,,2,these,you,,,,,
374372,00:06:14.372,m,how about socks?,1,socks,,,,,0,,,,,,,
376261,00:06:16.261,m,no socks?,1,socks,,,,,0,,,,,,,
378432,00:06:18.432,m,are you sure?,0,,,,,,1,you,,,,,,
380511,00:06:20.511,m,okay,0,,,,,,0,,,,,,,
381006,00:06:21.6,m,lets calm your hair,1,hair,,,,,1,your,,,,,,
386525,00:06:26.525,m,we need a little water though,1,water,,,,,1,we,,,,,,
389778,00:06:29.778,m,because of it,0,,,,,,1,it,,,,,,
390614,00:06:30.614,m,its a little freezy in the back,1,back,,,,,1,it,,,,,,
393063,00:06:33.63,m,oh,0,,,,,,0,,,,,,,
393687,00:06:33.687,m,there is a knot in,1,knot,,,,,0,,,,,,,
400951,00:06:40.951,m,you want,0,,,,,,1,you,,,,,,
401478,00:06:41.478,m,can I put a little water on it?,1,water,,,,,2,i,it,,,,,
404115,00:06:44.115,m,please,0,,,,,,0,,,,,,,
412852,00:06:52.852,m,all right,0,,,,,,0,,,,,,,
415020,00:06:55.20,m,no water okay,1,water,,,,,0,,,,,,,
416437,00:06:56.437,m,no water,1,water,,,,,0,,,,,,,
418825,00:06:58.825,m,no water in your hair,2,water,hair,,,,1,your,,,,,,
419876,00:06:59.876,m,okay,0,,,,,,0,,,,,,,
426790,00:07:06.790,m,can you make a cup of tea with momma?,3,cup,tea,momma,,,1,you,,,,,,
429704,00:07:09.704,m,momma is going to make herself a cup of tea,3,momma,cup,tea,,,1,herself,,,,,,
433427,00:07:13.427,m,yes,0,,,,,,0,,,,,,,
435253,00:07:15.253,m,yes [laugh],0,,,,,,0,,,,,,,
440895,00:07:20.895,m,all right,0,,,,,,0,,,,,,,
441985,00:07:21.985,m,you are just going to say no?,0,,,,,,1,you,,,,,,
443159,00:07:23.159,m,here,0,,,,,,0,,,,,,,
446525,00:07:26.525,m,come here,0,,,,,,0,,,,,,,
447576,00:07:27.576,m,oh,0,,,,,,0,,,,,,,
450304,00:07:30.304,m,you want more bread?,1,bread,,,,,1,you,,,,,,
452181,00:07:32.181,m,but how about you have something else?,1,something,,,,,1,you,,,,,,
453168,00:07:33.168,m,you want some yogurt?,1,yogurt,,,,,1,you,,,,,,
455681,00:07:35.681,m,you want some apple and peanut butter?,2,apple,peanutbutter,,,,1,you,,,,,,
458465,00:07:38.465,m,you want that cherry?,1,cherry,,,,,2,you,that,,,,,
461882,00:07:41.882,m,you want tomato?,1,tomato,,,,,1,you,,,,,,
464270,00:07:44.270,m,okay,0,,,,,,0,,,,,,,
467432,00:07:47.432,m,those are tomatoes,1,tomatoes,,,,,1,those,,,,,,
474102,00:07:54.102,m,what?,0,,,,,,0,,,,,,,
475897,00:07:55.897,m,you want that avocado?,1,avocado,,,,,2,you,that,,,,,
486097,00:08:06.97,m,be careful with that honey,1,honey,,,,,1,that,,,,,,
490996,00:08:10.996,m,thats xxx from grandma,1,grandma,,,,,1,that,,,,,,
495089,00:08:15.89,m,that is a bird,1,bird,,,,,1,that,,,,,,
498471,00:08:18.471,m,[sound effect],0,,,,,,0,,,,,,,
498937,00:08:18.937,m,[sound effect],0,,,,,,0,,,,,,,
501092,00:08:21.92,m,[sound effect],0,,,,,,0,,,,,,,
502961,00:08:22.961,m,that's momma's old tea bag,2,momma,teabag,,,,1,that,,,,,,
505994,00:08:25.994,m,old,0,,,,,,0,,,,,,,
506586,00:08:26.586,m,its cold now,0,,,,,,1,it,,,,,,
508193,00:08:28.193,m,momma is gonna make more tea,2,momma,tea,,,,0,,,,,,,
510889,00:08:30.889,m,that is the lid for the tea pod,2,lid,teapot,,,,1,that,,,,,,
513079,00:08:33.79,m,it's not,0,,,,,,1,it,,,,,,
513882,00:08:33.882,m,no it's not hot now,0,,,,,,1,it,,,,,,
514779,00:08:34.779,m,do you want to put it on?,0,,,,,,2,you,it,,,,,
517438,00:08:37.438,m,okay,0,,,,,,0,,,,,,,
521716,00:08:41.716,m,press,0,,,,,,0,,,,,,,
522649,00:08:42.649,m,press down,0,,,,,,0,,,,,,,
524909,00:08:44.909,m,good job,0,,,,,,0,,,,,,,
529281,00:08:49.281,m,okay,0,,,,,,0,,,,,,,
538658,00:08:58.658,m,that is a bottle of water,1,waterbottle,,,,,1,that,,,,,,
541822,00:09:01.822,m,that was for the tree yeah,1,tree,,,,,1,that,,,,,,
543119,00:09:03.119,m,but it died,0,,,,,,1,it,,,,,,
545014,00:09:05.14,m,the little basil plant died,1,plant,,,,,0,,,,,,,
551183,00:09:11.183,m,you want something to eat?,1,something,,,,,1,you,,,,,,
553445,00:09:13.445,m,you only want that bread?,1,bread,,,,,1,you,,,,,,
561070,00:09:21.70,m,these are little cherries,1,cherries,,,,,1,these,,,,,,
561814,00:09:21.814,m,you want another cherry?,1,cherry,,,,,1,you,,,,,,
563304,00:09:23.304,m,no,0,,,,,,0,,,,,,,
575819,00:09:35.819,m,you want anymore of your cereal?,1,cereal,,,,,1,you,,,,,,
577618,00:09:37.618,m,okay,0,,,,,,0,,,,,,,
578521,00:09:38.521,m,I am gonna throw that out,0,,,,,,2,i,that,,,,,
582147,00:09:42.147,m,this is the bread,1,bread,,,,,1,this,,,,,,
589679,00:09:49.679,m,you taste orange in it?,1,orange,,,,,2,you,it,,,,,
605302,00:10:05.302,m,they are bubbles,1,bubbles,,,,,1,they,,,,,,
606546,00:10:06.546,m,they will wash that pot,1,pot,,,,,2,they,that,,,,,
609989,00:10:09.989,m,that is your cereal,1,cereal,,,,,1,that,,,,,,
610925,00:10:10.925,m,from earlier,0,,,,,,0,,,,,,,
612908,00:10:12.908,m,you want more?,0,,,,,,0,,,,,,,
614434,00:10:14.434,m,okay,0,,,,,,0,,,,,,,
622741,00:10:22.741,m,that is a straw from your cup,2,straw,cup,,,,2,that,your,,,,,
628376,00:10:28.376,m,that is,0,,,,,,1,that,,,,,,
629898,00:10:29.898,m,the bottom of the straw that weights it down,2,bottom,straw,,,,1,it,,,,,,
637336,00:10:37.336,m,you want more?,0,,,,,,1,you,,,,,,
647849,00:10:47.849,m,you want some water?,1,water,,,,,1,you,,,,,,
656984,00:10:56.984,m,that's another tea bag,1,teabag,,,,,1,that,,,,,,
660117,00:11:00.117,m,momma's tea,2,momma,tea,,,,0,,,,,,,
664436,00:11:04.436,m,that is the old one,1,one,,,,,1,that,,,,,,
669144,00:11:09.144,m,no,0,,,,,,0,,,,,,,
669947,00:11:09.947,m,don't put that in there,0,,,,,,1,that,,,,,,
674605,00:11:14.605,m,that's for your cup,1,cup,,,,,2,that,your,,,,,
678053,00:11:18.53,m,yeah,0,,,,,,0,,,,,,,
678550,00:11:18.550,m,that is for the cup too,1,cup,,,,,1,that,,,,,,
687754,00:11:27.754,m,what's wrong?,0,,,,,,0,,,,,,,
706204,00:11:46.204,m,you want that,0,,,,,,1,you,that,,,,,
706917,00:11:46.917,m,that's more bread honey,2,bread,honey,,,,1,that,,,,,,
722810,00:12:02.810,m,yeah,0,,,,,,0,,,,,,,
728240,00:12:08.240,m,[laugh],0,,,,,,0,,,,,,,
730437,00:12:10.437,m,you have too much,0,,,,,,1,you,,,,,,
740448,00:12:20.448,m,that's for momma?,1,momma,,,,,1,that,,,,,,
742088,00:12:22.88,m,thank you,0,,,,,,1,you,,,,,,
742618,00:12:22.618,m,mmm,0,,,,,,0,,,,,,,
747054,00:12:27.54,m,no,0,,,,,,0,,,,,,,
747767,00:12:27.767,m,momma does not need anymore,1,momma,,,,,0,,,,,,,
752703,00:12:32.703,m,okay,0,,,,,,0,,,,,,,
753272,00:12:33.272,m,should we put it away?,0,,,,,,2,we,it,,,,,
755475,00:12:35.475,m,I think so,0,,,,,,1,i,,,,,,
756898,00:12:36.898,m,because then all you want to do is eat this,0,,,,,,2,you,this,,,,,
762061,00:12:42.61,m,put this aside,0,,,,,,1,this,,,,,,
766803,00:12:46.803,m,here,0,,,,,,0,,,,,,,
767297,00:12:47.297,m,that is a good piece for you,1,piece,,,,,2,that,you,,,,,
780660,00:13:00.660,m,you have two more pieces over there,1,pieces,,,,,1,you,,,,,,
783386,00:13:03.386,m,over here,0,,,,,,0,,,,,,,
784259,00:13:04.259,m,how about you want some cashews?,1,cashews,,,,,1,you,,,,,,
793710,00:13:13.710,m,you want more cereal honey?,2,cereal,honey,,,,1,you,,,,,,
801264,00:13:21.264,m,do you remember what we made in this pot last night?,2,pot,night,,,,3,you,we,this,,,,
805265,00:13:25.265,m,what did we make?,0,,,,,,1,we,,,,,,
808986,00:13:28.986,m,pasta and cucumbers,2,pasta,cucumbers,,,,0,,,,,,,
810752,00:13:30.752,m,no,0,,,,,,0,,,,,,,
811526,00:13:31.526,m,we made pasta and cauliflower,1,pasta,cauliflower,,,,1,we,,,,,,
815440,00:13:35.440,m,xxx,0,,,,,,0,,,,,,,
816060,00:13:36.60,m,daddy did not make pork in this,2,daddy,pork,,,,1,this,,,,,,
817580,00:13:37.580,m,but daddy did make pork,2,daddy,pork,,,,0,,,,,,,
819209,00:13:39.209,m,here,0,,,,,,0,,,,,,,
834959,00:13:54.959,m,that's Emilia,1,emilia,,,,,1,that,,,,,,
837410,00:13:57.410,m,what's Emilia lastname?,2,emilia,lastname,,,,0,,,,,,,
839617,00:13:59.617,m,xxx,0,,,,,,0,,,,,,,
841461,00:14:01.461,m,how old is Emilia?,1,emilia,,,,,0,,,,,,,
843231,00:14:03.231,m,two?,0,,,,,,0,,,,,,,
844064,00:14:04.64,m,you are not two,0,,,,,,1,you,,,,,,
847041,00:14:07.41,m,what are you?,0,,,,,,1,you,,,,,,
847910,00:14:07.910,m,you are one year old,1,year,,,,,1,you,,,,,,
850947,00:14:10.947,m,you will be two in January,1,january,,,,,1,you,,,,,,
853014,00:14:13.14,m,for your birthday,1,birthday,,,,,1,your,,,,,,
856238,00:14:16.238,m,and Mayson?,1,mayson,,,,,0,,,,,,,
857508,00:14:17.508,m,how old is Mayson?,1,mayson,,,,,0,,,,,,,
860521,00:14:20.521,m,you are two months older than Mayson,2,months,mayson,,,,1,you,,,,,,
866813,00:14:26.813,m,Mayson is younger than you are,1,mayson,,,,,1,you,,,,,,
874826,00:14:34.826,m,what's that?,0,,,,,,1,that,,,,,,
877040,00:14:37.40,m,that's the drain,1,drain,,,,,1,that,,,,,,
877915,00:14:37.915,m,drinking the water,1,water,,,,,0,,,,,,,
883274,00:14:43.274,m,that is the xxx drinking the water,1,water,,,,,1,that,,,,,,
886309,00:14:46.309,m,yeah,0,,,,,,0,,,,,,,
889379,00:14:49.379,m,you want,0,,,,,,1,you,,,,,,
889909,00:14:49.909,m,uhoh,0,,,,,,0,,,,,,,
890122,00:14:50.122,m,uhoh,0,,,,,,0,,,,,,,
893807,00:14:53.807,m,you want to see those xxx drinking the water?,1,water,,,,,2,you,those,,,,,
899560,00:14:59.560,m,there is not a lot to see becuase they are covered by bubbles here,1,bubbles,,,,,1,they,,,,,,
903395,00:15:03.395,m,let momma rinse the pot,2,momma,pot,,,,0,,,,,,,
903988,00:15:03.988,m,and then I'll show you,0,,,,,,2,i,you,,,,,
940849,00:15:40.849,m,you want more cherries?,1,cherries,,,,,1,you,,,,,,
942399,00:15:42.399,m,okay,0,,,,,,0,,,,,,,
942896,00:15:42.896,m,but you gotta wait for momma because they have pits,2,momma,pits,,,,2,you,they,,,,,
945496,00:15:45.496,m,you can't eat them by your own,0,,,,,,2,you,your,,,,,
951014,00:15:51.14,m,that one?,1,one,,,,,1,that,,,,,,
952534,00:15:52.534,m,okay here,0,,,,,,0,,,,,,,
956412,00:15:56.412,m,that one has a pit too,2,one,pit,,,,1,that,,,,,,
958828,00:15:58.828,m,that one has a pit too,2,one,pit,,,,1,that,,,,,,
959819,00:15:59.819,m,right there,0,,,,,,0,,,,,,,
961628,00:16:01.628,m,see?,0,,,,,,0,,,,,,,
962585,00:16:02.585,m,here,0,,,,,,0,,,,,,,
969468,00:16:09.468,m,that has a pit too,1,pit,,,,,1,that,,,,,,
973930,00:16:13.930,m,you hear the tea?,1,tea,,,,,1,you,,,,,,
976934,00:16:16.934,m,wait,0,,,,,,0,,,,,,,
977976,00:16:17.976,m,momma is going to do it honey,2,momma,honey,,,,1,it,,,,,,
980840,00:16:20.840,m,lets put it,0,,,,,,1,it,,,,,,
983754,00:16:23.754,m,oh that one is not good,1,one,,,,,1,that,,,,,,
984713,00:16:24.713,m,we are gonna throw this one out,1,one,,,,,2,we,this,,,,,
985767,00:16:25.767,m,see?,0,,,,,,0,,,,,,,
989831,00:16:29.831,m,this one?,1,one,,,,,1,this,,,,,,
995316,00:16:35.316,m,that's another bird,1,bird,,,,,1,that,,,,,,
996669,00:16:36.669,m,what color is that bird?,2,color,bird,,,,1,that,,,,,,
998467,00:16:38.467,m,that one is blue yay,1,one,,,,,1,that,,,,,,
999254,00:16:39.254,m,you are right,0,,,,,,1,you,,,,,,
1001239,00:16:41.239,m,no that's not white,0,,,,,,1,that,,,,,,
1002978,00:16:42.978,m,that's not white,0,,,,,,1,that,,,,,,
1003725,00:16:43.725,m,that's red,0,,,,,,1,that,,,,,,
1007007,00:16:47.7,m,mmm,0,,,,,,0,,,,,,,
1011982,00:16:51.982,m,what color is this?,1,color,,,,,1,this,,,,,,
1014586,00:16:54.586,m,that's orange,0,,,,,,1,that,,,,,,
1016478,00:16:56.478,m,what color is that?,1,color,,,,,1,that,,,,,,
1018463,00:16:58.463,m,that's green,0,,,,,,1,that,,,,,,
1020944,00:17:00.944,m,I can't see it honey,1,honey,,,,,2,i,it,,,,,
1021842,00:17:01.842,m,if this is blue that can't be blue too,0,,,,,,2,this,that,,,,,
1025034,00:17:05.34,m,that's green,0,,,,,,1,that,,,,,,
1028476,00:17:08.476,m,that's blue,0,,,,,,1,that,,,,,,
1031568,00:17:11.568,m,that's red,0,,,,,,1,that,,,,,,
1034701,00:17:14.701,m,that's blue,0,,,,,,1,that,,,,,,
1036281,00:17:16.281,m,this one is white,1,one,,,,,1,this,,,,,,
1044016,00:17:24.16,m,the other bird?,1,bird,,,,,0,,,,,,,
1045872,00:17:25.872,m,there is another bird right there,1,bird,,,,,0,,,,,,,
1050336,00:17:30.336,m,where?,0,,,,,,0,,,,,,,
1051452,00:17:31.452,m,where is the other bird?,1,bird,,,,,0,,,,,,,
1053592,00:17:33.592,m,lets see,0,,,,,,0,,,,,,,
1054988,00:17:34.988,m,oh,0,,,,,,0,,,,,,,
1055045,00:17:35.45,m,here,0,,,,,,0,,,,,,,
1055462,00:17:35.462,m,here is the other bird,1,bird,,,,,0,,,,,,,
1056362,00:17:36.362,m,here is the other bird,1,bird,,,,,0,,,,,,,
1058505,00:17:38.505,m,what color is this bird?,2,color,bird,,,,1,this,,,,,,
1062133,00:17:42.133,m,there is another bird there too,1,bird,,,,,0,,,,,,,
1065163,00:17:45.163,m,what color is that bird?,2,color,bird,,,,1,that,,,,,,
1066933,00:17:46.933,m,that one is white,1,one,,,,,1,that,,,,,,
1069059,00:17:49.59,m,we are missing some little lights,1,lights,,,,,1,we,,,,,,
1074080,00:17:54.80,m,the tree is going to get hot,1,tree,,,,,0,,,,,,,
1077430,00:17:57.430,m,you have to be careful with that,0,,,,,,2,you,that,,,,,
1083938,00:18:03.938,m,what do you want more of?,0,,,,,,1,you,,,,,,
1086791,00:18:06.791,m,more cherries?,1,cherries,,,,,0,,,,,,,
1088280,00:18:08.280,m,okay,0,,,,,,0,,,,,,,
1088898,00:18:08.898,m,momma will get you some more,1,momma,,,,,1,you,,,,,,
1090730,00:18:10.730,m,you want cherries or raspberries?,2,cherries,raspberries,,,,1,you,,,,,,
1094160,00:18:14.160,m,what about a mandarine?,1,mandarine,,,,,0,,,,,,,
1097388,00:18:17.388,m,uhoh,0,,,,,,0,,,,,,,
1098067,00:18:18.67,m,I dont know if we have anymore cherries,1,cherries,,,,,2,i,we,,,,,
1101169,00:18:21.169,m,what about grapes?,1,grapes,,,,,0,,,,,,,
1104859,00:18:24.859,m,honey we are out of cherries,2,honey,cherries,,,,1,we,,,,,,
1106005,00:18:26.5,m,unfortunately,0,,,,,,0,,,,,,,
1108766,00:18:28.766,m,I thought we had more but we don't,0,,,,,,3,i,we,we,,,,
1113135,00:18:33.135,m,no,0,,,,,,0,,,,,,,
1114311,00:18:34.311,m,we don't have anymore,0,,,,,,1,we,,,,,,
1115396,00:18:35.396,m,we eat,0,,,,,,1,we,,,,,,
1115863,00:18:35.863,m,we ate them all,0,,,,,,2,we,them,,,,,
1117847,00:18:37.847,m,you want raspberries?,1,raspberries,,,,,1,you,,,,,,
1119550,00:18:39.550,m,or blackberries?,1,blackberries,,,,,0,,,,,,,
1122312,00:18:42.312,m,grapes,1,grapes,,,,,0,,,,,,,
1122993,00:18:42.993,m,okay,0,,,,,,0,,,,,,,
1136179,00:18:56.179,m,grapes don't have pits,2,grapes,pits,,,,0,,,,,,,
1137295,00:18:57.295,m,they have seeds,1,seeds,,,,,1,they,,,,,,
1141194,00:19:01.194,m,wait wait,0,,,,,,0,,,,,,,
1141482,00:19:01.482,m,we have to wash them,0,,,,,,2,we,them,,,,,
1143182,00:19:03.182,m,we have to wash them first,0,,,,,,2,we,them,,,,,
1146319,00:19:06.319,m,that is the plate to catch the water,2,plate,water,,,,1,that,,,,,,
1150144,00:19:10.144,m,that's the plate but its precious,1,plate,,,,,2,that,it,,,,,
